Unnamed: 0,Name,Surname,Gender,Birthdate,Transaction Amount,Date,Merchant Name,Category
0,Sean,Rodriguez,0,0.9464285714285714,0.009042986794195969,0.32857142857142857,Smith-Russell,1
1,Michelle,Phelps,2,0.6428571428571429,0.9210405231599732,0.7035714285714286,"Peck, Spence and Young",5
2,Jacob,Williams,1,0.5714285714285714,0.0382080684020796,0.9357142857142857,Steele Inc,0
3,Nathan,Snyder,1,0.5,0.00028983932032679413,0.03571428571428571,"Wilson, Wilson and Russell",1
4,Crystal,Knapp,0,0.03571428571428571,0.018730866076119054,0.5821428571428572,Palmer-Hinton,2
5,Monica,Bartlett,0,0.9285714285714286,0.03211057370070467,0.8392857142857143,"Tran, Torres and Joyce",1
6,Thomas,Shaw,2,0.48214285714285715,0.04906617393982212,0.8607142857142858,"Evans, Griffin and Torres",1
7,Kelsey,Pena,0,0.3392857142857143,0.054663695813633326,0.1357142857142857,Miller PLC,1
8,Denise,Porter,1,0.14285714285714285,0.024353748890458854,0.039285714285714285,Jackson-Morgan,4
9,Alexander,Richardson,0,0.44642857142857145,0.04794666956505988,0.5607142857142857,"Blake, Mays and Anderson",0
10,Kimberly,Ball,1,0.48214285714285715,0.3326522109305654,0.14642857142857144,"Miller, Walker and Bond",5
11,Hunter,Peters,1,0.39285714285714285,0.1366846004746119,0.95,"Barker, Ortiz and Cox",3
12,Julie,Russell,1,0.3392857142857143,0.047664076227741256,0.7785714285714286,Taylor-Morrow,1
13,Christopher,Harris,1,0.9821428571428571,0.03511765664909516,0.3964285714285714,Gonzalez-Hunter,1
14,Amber,Brown,1,0.9821428571428571,0.015868702787891965,0.3535714285714286,Underwood-Contreras,1
15,Amy,Pierce,0,0.30357142857142855,0.025020379327210476,0.014285714285714285,Rodriguez Ltd,4
16,Elizabeth,Barnes,0,0.14285714285714285,0.1560313751064254,0.20714285714285716,Wilson-Zavala,3
17,Chad,Reese,2,0.23214285714285715,0.16858141767657558,0.3964285714285714,Hughes Inc,3
18,Michelle,Holden,1,0.0,0.03469014365161314,0.49642857142857144,Morris-Foster,1
19,Steven,Smith,1,0.8928571428571429,0.5280981106099307,0.475,"Thompson, Lopez and Mason",5
20,Patrick,Price,1,0.5,0.010713185877579119,0.525,"Barber, Williamson and Norman",0
21,Daniel,Pitts,2,0.8214285714285714,0.010637103055993335,0.5392857142857143,Shaw-Elliott,0
22,Robert,Rice,0,0.7857142857142857,0.05116388602068729,0.6392857142857142,Solis-Washington,0
23,Sara,Michael,1,0.7857142857142857,0.0023694364436715404,0.37857142857142856,Wright Inc,4
24,Anthony,Miller,2,0.75,0.03542923391844646,0.5857142857142857,"Nguyen, Patel and Dudley",1
25,Jessica,White,1,0.5714285714285714,0.1289966125029437,0.11071428571428571,"Berry, Reeves and Best",3
26,Kimberly,Ross,1,0.17857142857142858,0.33103997971124766,0.2714285714285714,"Pacheco, Sullivan and Jones",2
27,Brian,Jones,0,0.125,0.2794558266760865,0.3142857142857143,Dorsey Inc,5
28,William,Contreras,0,0.9642857142857143,0.532210205967067,0.37142857142857144,"Fuller, Jones and White",5
29,Adam,Hansen,2,0.30357142857142855,0.030498342481386883,0.9107142857142857,Johnson-Campbell,1
30,Betty,Atkinson,0,0.8035714285714286,0.01755701682879554,0.9392857142857143,"Freeman, Bush and Zuniga",1
31,Pamela,Nguyen,1,0.5178571428571429,0.04990670796876982,0.5571428571428572,Schwartz-Stephens,1
32,Sarah,Warner,0,0.21428571428571427,0.05329058203358514,0.7142857142857143,Cook-Williams,0
33,Amy,Mercer,0,0.375,0.7467637628389762,0.9357142857142857,"Peck, Horn and Stanley",5
34,Manuel,Robinson,1,0.21428571428571427,0.08743003097657738,0.6107142857142858,Gonzalez-Castro,3
35,Aaron,Martinez,0,0.5178571428571429,0.22486821368403892,0.9,Padilla-Greene,5
36,Darlene,Tucker,1,0.07142857142857142,0.6285491730521893,0.225,Manning Inc,5
37,Hannah,Maynard,1,0.5535714285714286,0.17278771081281818,0.04642857142857143,"Gilbert, Hernandez and Wilson",2
38,Benjamin,Rice,1,0.9107142857142857,0.019520678224009567,0.48928571428571427,Lynch Inc,0
39,Jason,Johnson,0,0.9285714285714286,0.874354654638335,0.8714285714285714,King-Wright,5
40,Scott,Harrison,0,0.9642857142857143,0.03184247232940239,0.925,"White, Bernard and Adkins",1
41,Emily,Mcdaniel,0,0.6785714285714286,0.026792022172708003,0.4857142857142857,Mason PLC,4
42,Thomas,Salas,2,0.125,0.017143995797329857,0.775,Jimenez Inc,2
43,Katherine,Howard,0,0.8571428571428571,0.30645798235603144,0.7357142857142858,Hamilton and Sons,2
44,Kevin,Harris,2,0.5,0.04960599967393078,0.575,Thomas LLC,1
45,Jose,Gould,1,0.16071428571428573,0.04280926761226745,0.9964285714285714,Sanders PLC,1
46,Meghan,Acosta,0,0.23214285714285715,0.014383276271217146,0.2785714285714286,"Washington, Hinton and Sparks",3
47,Michael,Huang,1,0.875,0.022053149285364927,0.9571428571428572,"French, Wright and Tapia",0
48,Dana,Hunt,0,0.75,0.11614223864645039,0.6428571428571429,Torres LLC,2
49,Lisa,Ross,0,0.0,0.2540550332409471,0.6678571428571428,Diaz LLC,5
50,Sydney,Spencer,2,0.5535714285714286,0.4943028458598265,0.275,Johnson LLC,5
51,Brian,Mcintyre,0,0.9642857142857143,0.010408854591235986,0.17142857142857143,Morales-Velasquez,4
52,Melanie,Greene,0,0.8214285714285714,0.0022353857580203976,0.42857142857142855,Barnes-Walton,1
53,Anthony,Hoffman,1,0.5892857142857143,0.036997989239715236,0.5142857142857142,Ellis-Zimmerman,1
54,Michelle,Kim,0,0.14285714285714285,0.06350741807510463,0.45,Nguyen-Bradley,1
55,Matthew,Aguilar,1,0.5178571428571429,0.017245439559444235,0.31785714285714284,"Brooks, Reed and Adams",4
56,Tammy,Williams,0,0.30357142857142855,0.020267014473851062,0.6178571428571429,Cooper Inc,4
57,Justin,Mathews,0,0.8214285714285714,0.7335217288915459,0.9142857142857143,"Beck, Morris and Murphy",5
58,Matthew,Hobbs,0,0.25,0.05188848432150427,0.6071428571428571,"Blankenship, Atkinson and Howard",5
59,Ann,Sullivan,0,0.10714285714285714,0.043544734887596685,0.15,Hester-Greer,1
60,Joshua,Burgess,0,0.875,0.06154013368838651,0.8285714285714286,Wilcox PLC,3
61,Sabrina,White,0,0.5535714285714286,0.942876292955093,0.6535714285714286,"Woodard, Boyd and Mays",5
62,Leslie,Campbell,2,0.5892857142857143,0.04662427766606888,0.7678571428571429,"White, Hensley and Hayes",3
63,Jeffery,Morgan,0,0.4107142857142857,0.08150281687589445,0.6,"Collins, Hill and Chapman",0
64,Mary,Pittman,2,1.0,0.015289024147238378,0.9571428571428572,"Butler, Stewart and Peterson",0
65,Ashley,Carr,1,0.48214285714285715,0.0006340235132148616,0.5714285714285714,Howard-Miller,4
66,Joseph,Meadows,0,0.5535714285714286,0.04967483651250839,0.26071428571428573,"Jackson, Ramirez and Jones",1
67,Juan,Kelly,0,0.8214285714285714,1.0,0.7428571428571429,Peterson LLC,5
68,Christina,Ellis,0,0.9285714285714286,0.23327717696502004,0.7464285714285714,Ward-Klein,2
69,Martha,Gonzales,1,0.03571428571428571,0.004677282031773637,0.4857142857142857,Kelly-Jones,0
70,John,Woods,0,0.14285714285714285,0.7023241490498706,0.0,Stephens-Shelton,5
71,Keith,Clark,0,0.9642857142857143,0.013528250276253106,0.37857142857142856,Smith Inc,4
72,Alejandro,Reed,0,0.7321428571428571,0.010836367588718008,0.825,"Odonnell, Bright and Lewis",0
73,Amber,Taylor,0,0.32142857142857145,0.0917015379598935,0.06785714285714285,Rogers and Sons,0
74,Michael,Hines,2,0.21428571428571427,0.023944350850497256,0.7678571428571429,Oconnor PLC,1
75,David,Morrison,0,0.9464285714285714,0.004108472365632304,0.3392857142857143,Yu and Sons,4
76,Jennifer,Quinn,1,0.0,0.05211673278626163,1.0,Phillips Inc,3
77,Nicholas,Jones,0,0.9285714285714286,0.010825498614205752,0.9142857142857143,"Mccormick, Adkins and Cobb",4
78,Christy,Ramos,0,0.8214285714285714,0.014557179863413223,0.9785714285714285,Rogers-Levy,3
79,Jamie,Collier,2,0.375,0.10888176367226421,0.5321428571428571,Matthews PLC,3
80,Douglas,Martin,1,0.32142857142857145,0.581736499827908,0.6464285714285715,"Jackson, Ray and Cooper",5
81,Holly,Jackson,1,0.05357142857142857,0.30020469901998087,0.2892857142857143,Carey Ltd,2
82,Kimberly,Klein,0,0.35714285714285715,0.10029527380758294,0.8178571428571428,"Chang, Blevins and Miller",3
83,Fernando,Oliver,0,0.125,0.08554245240294914,0.7607142857142857,Patterson-Davenport,3
84,Yvonne,Silva,1,0.16071428571428573,0.05715993695994784,0.08928571428571429,Rice-Ramos,1
85,Margaret,Carter,2,0.8392857142857143,0.03112149702008949,0.28214285714285714,"Miller, Foster and Reed",1
86,Charles,Glover,0,0.25,0.120946325380867,0.7142857142857143,Kim and Sons,2
87,Aaron,Mckee,2,0.4642857142857143,0.080118834121334,0.18214285714285713,Arnold-Blackburn,3
88,Derrick,Aguilar,1,0.32142857142857145,0.07284749017263556,0.30357142857142855,Montgomery-Ruiz,3
89,Kurt,Dennis,1,0.375,0.08102820498885932,0.5107142857142857,"Davis, Griffin and Gates",0
90,Timothy,Collier,1,0.017857142857142856,0.0,0.9642857142857143,"Baker, Schaefer and Brown",3
91,Courtney,Johnson,1,0.5714285714285714,0.10642175244099054,0.375,Bryant-Sanchez,2
92,Joy,Padilla,0,0.03571428571428571,0.09704907341992285,0.725,Frost-Smith,3
93,Carol,Wilson,1,0.48214285714285715,0.05395721247033677,0.48928571428571427,Arnold Ltd,0
94,Lawrence,Williams,0,1.0,0.004086734416607793,0.8571428571428571,Cook-Moore,4
95,Andrew,Armstrong,1,0.9821428571428571,0.08001014437621146,0.21428571428571427,Miller Inc,0
96,Anthony,Arnold,1,0.39285714285714285,0.8520949948372372,0.6357142857142857,"Thomas, Simpson and Tyler",5
97,Nicole,Peterson,1,0.2857142857142857,0.13941995906019602,0.2785714285714286,"Bryant, Mcbride and White",3
98,Stephanie,Miller,2,0.16071428571428573,0.34343061065521807,0.41785714285714287,Young and Sons,2
99,Derek,Thompson,0,0.6428571428571429,0.030585294277484923,0.85,"Fuller, Bowen and Davis",4
